id,title,media_type,overview,release_date,vote_average,vote_count,streaming_providers,poster_url,genres,cast,crew
30801,1박 2일,tv,,2007-08-05,7.438,24,Viu,https://image.tmdb.org/t/p/w500/aTixMf5OaKA50QNvcKv18X9SLjX.jpg,"Komedi, Realitas","[{""name"": ""Kim Jong-min"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/bKnGJpF0t1uUlMG9v7Ju0lM51j4.jpg""}, {""name"": ""Moon Se-yoon"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/yZcIy4f26nucELl6m3DcLahX0FR.jpg""}, {""name"": ""DinDin"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3blQZpmbPuxQ9iMTkV0oaOnrd0s.jpg""}, {""name"": ""Yoo Seon-ho"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/hVtbZIWtXsXN6z9JGO9HI2tKpLq.jpg""}, {""name"": ""Jo Se-ho"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/byV2UFSUJg39LPJyOutL1z0v2HY.jpg""}]","[{""job"": ""Director"", ""name"": ""Bang Geul-yi"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/8zVQK3fwZn9zxWu9S1ckNZqGyDD.jpg""}]"
72896,미운 우리 새끼,tv,,2016-08-26,5.5,6,,https://image.tmdb.org/t/p/w500/5FQzjkx3zxxHNTzOqw9qMweQ4rd.jpg,"Realitas, Bicara","[{""name"": ""Shin Dong-yup"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/iMzzz78MnoBpzrVyjMnG6DqkfmZ.jpg""}, {""name"": ""Seo Jang-hoon"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/w0sGoIEqQE1cKAgL7vlBxwbNDSd.jpg""}]","[{""job"": ""Director"", ""name"": ""Min Hyung-won"", ""profile_url"": null}, {""job"": ""Director"", ""name"": ""Kim Min-won"", ""profile_url"": null}, {""job"": ""Director"", ""name"": ""Kwak Seung-young"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/qurVGLunE9f9eUYyfOSQsuQAWRa.jpg""}, {""job"": ""Writer"", ""name"": ""Im Chae-yoon"", ""profile_url"": null}, {""job"": ""Director"", ""name"": ""Ahn Jeong-hyeon"", ""profile_url"": null}]"
14610,Salatut elämät,tv,,1999-01-25,4.5,17,,https://image.tmdb.org/t/p/w500/ugYAGyxwajuplDUUYT8Bzbj8eNR.jpg,"Sabun, Drama","[{""name"": ""Timo Jurkka"", ""profile_url"": null}, {""name"": ""Sami Uotila"", ""profile_url"": null}, {""name"": ""Esko Kovero"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/8cB7dDvTd0k5QwFgwrdYHYChe5X.jpg""}, {""name"": ""Teemu Lehtilä"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/fG7no63mavZaMUqXJoKtVCBKlze.jpg""}, {""name"": ""Tommi Taurula"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/ywiszkD4nzsfMt65w93R9sKrMZx.jpg""}]",[]
64356,슈퍼맨이 돌아왔다,tv,,2013-11-03,7.8,13,,https://image.tmdb.org/t/p/w500/iP2OjFhiiMnowebltmXgAxJowKP.jpg,Realitas,"[{""name"": ""Lee Hwi-jae"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/rAltUEr58Yr6tGtyswrWa1X5RTX.jpg""}, {""name"": ""Yoshihiro Akiyama"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tut6fn8EFaSw3u6O8KsesKhBpuU.jpg""}, {""name"": ""Jang Hyun-sung"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/rD1QMp1kmx03JSw4eBxeeLvTwAA.jpg""}, {""name"": ""Lee Dong-gook"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/aj1CtZ7EmBXXK5PtEeYiZJ5enbF.jpg""}, {""name"": ""Ki Tae-young"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3ROBVuti9vZrRSZg6CuMB53aZNr.jpg""}]",[]
67192,New Japan Pro Wrestling,tv,,1972-03-06,8.5,4,,https://image.tmdb.org/t/p/w500/c6IZc3avqSgTzSXrrj9vV0EwRp.jpg,Drama,"[{""name"": ""Togi Makabe"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/7gOxrwRRnYT7k2e2XRnIwQJ4Ik7.jpg""}, {""name"": ""Hiroshi Tanahashi"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/uPixrc7oyf4EXeNOIl89SZJzOZH.jpg""}, {""name"": ""Taiji Ishimori"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/6xZE2ETs6XhvLeuMBBkUFyFW2OZ.jpg""}, {""name"": ""Ryusuke Taguchi"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3tWehkIxnRh5lfqMUdOtpgcuLqU.jpg""}, {""name"": ""William Ospreay"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/n644Mbb34PoJn7Yuxt2M8gd8qA7.jpg""}]",[]
58287,PBS News Weekend,tv,,2013-09-07,4.8,12,,https://image.tmdb.org/t/p/w500/qIccOtBz8uzAbK0HsiB4o0JjpIH.jpg,Berita,"[{""name"": ""John Yang"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3YejUrmyTF9T0j0EWG2TILz87cK.jpg""}]",[]
80559,パズドラ,tv,,2018-04-02,8.0,3,,https://image.tmdb.org/t/p/w500/oW9rE2Zo38eTBcCcnDl5tZijYHq.jpg,"Aksi & Petualangan, Animasi, Komedi, Anak-anak, Sci-fi & Fantasy, Drama","[{""name"": ""Asuna Tomari"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/1UrGvjjGi5p0GvVugjbzGutU6vu.jpg""}, {""name"": ""Tetsuya Kakihara"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/80DeAD6DYh030wsyUygFqDpNkSj.jpg""}, {""name"": ""Honoka Inoue"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/eZHNcyvGvFm8FyUMa0WnW2yrYMx.jpg""}, {""name"": ""Yusuke Kobayashi"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/y4ukKDSobZJNuB4H3k89hkrKCDC.jpg""}, {""name"": ""Chie Koujiro"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tPAeh4cHBTxArXdWu042YEjPOcc.jpg""}]",[]
10478,Washington Week with The Atlantic,tv,,1967-02-23,9.5,2,,https://image.tmdb.org/t/p/w500/3EHbi6w6wvYIiCUxg7Hu51g29Ph.jpg,"Berita, Bicara, Kejahatan dan Politik","[{""name"": ""Jeffrey Goldberg"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/5H9k1pSUewtGfw2HO652VadJCyT.jpg""}, {""name"": ""Paul Anthony"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/m1k35ZxgIpZPxWMH9N4ts9Rmcjo.jpg""}]",[]
93405,Squid Game,tv,"Ratusan pemain yang butuh uang menerima undangan aneh untuk bertanding dalam permainan anak-anak. Di permainan ini, hadiah menggiurkan menanti—dengan taruhan mematikan.",2021-09-17,7.862,15889,Netflix,https://image.tmdb.org/t/p/w500/rwzxy5DgbpAEscbzjhJxay5Qvb7.jpg,"Aksi & Petualangan, Misteri, Drama","[{""name"": ""Lee Jung-jae"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/3h5Cfm0X8ohWn7psZkqdNWqXAHH.jpg""}, {""name"": ""Lee Byung-hun"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/pY4pwYO8qwtzvuzpzRczDACDiVA.jpg""}, {""name"": ""Wi Ha-jun"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/tEZuIaMESdBw4LfNq3vshGR4VlP.jpg""}, {""name"": ""Yang Dong-geun"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/rpP06EPyDZBHKbwBhTo1t3J9poN.jpg""}, {""name"": ""Kang Ae-sim"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/mnUozozJf3VUpgi91ysfyxlRqs1.jpg""}]",[]
67378,Have You Been Paying Attention?,tv,,2013-11-03,8.3,7,,https://image.tmdb.org/t/p/w500/8UrQBNGHJJ71M4qD980CiE0VFup.jpg,"Komedi, Bicara","[{""name"": ""Tom Gleisner"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/9WWjLeV7qfYpNTbTl9BqM7QiqW5.jpg""}, {""name"": ""Sam Pang"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/p6lnkzDgGjt7cbZhmCyjgpxT1F1.jpg""}, {""name"": ""Ed Kavalee"", ""profile_url"": ""https://image.tmdb.org/t/p/w500/d048pPXCKbF0mUgdRPKyd43olow.jpg""}]",[]
11863,Aktenzeichen XY… ungelöst,tv,,1967-10-20,8.125,8,,https://image.tmdb.org/t/p/w500/gvKZqiC0rucTNJE56P08XKhZpw3.jpg,"Realitas, Dokumenter, Kejahatan",[],[]
